gender,age,married,education,value_main_house,future_expenses,%_spend_future_win,risk,tot_amm_year_retirement_plans,tot_value_retirement_plans,tot_income_month,tot_loans_rest,tot_amm_acc,port_inv_val,ann_inv_income,monthly_expenses
1.0,74.0,2.0,11.0,1202.024,3.0,0.0,3.0,0.36,15.0,2.566,0.0,60.101,761.609,36.061,3.306
1.0,68.0,2.0,12.0,500.0,3.0,0.0,2.0,0.36,15.0,2.573,0.0,11.0,950.0,0.0,5.0
1.0,57.0,1.0,2.0,50.0,1.0,10.0,3.0,0.36,15.0,0.0,0.0,3.0,0.0,0.0,0.32
1.0,44.0,2.0,8.0,600.0,3.0,0.0,3.0,0.6,0.75,7.083,300.0,14.0,2.5,0.02,5.1
2.0,40.0,2.0,8.0,150.253,1.0,100.0,4.0,0.36,15.0,1.7,90.0,1.5,0.0,0.0,2.185
1.0,72.0,2.0,10.0,300.0,3.0,0.0,4.0,0.36,15.0,4.374,0.0,120.0,0.0,0.0,5.249
1.0,64.0,2.0,6.0,300.0,3.0,25.0,4.0,1.2,25.0,2.7,0.0,32.872,0.0,0.0,0.45
1.0,71.0,2.0,2.0,90.152,1.0,0.0,4.0,0.36,15.0,0.91,0.2,20.0,0.0,0.0,2.026
2.0,82.0,6.0,11.0,721.215,1.0,50.0,3.0,4.0,60.0,0.0,0.0,80.0,260.0,2.203,2.5
1.0,74.0,2.0,2.0,420.708,1.0,0.0,4.0,0.36,15.0,0.8,0.0,1.863,0.0,0.0,0.992
2.0,76.0,1.0,10.0,120.0,3.0,0.0,4.0,0.36,15.0,2.274,0.0,5.0,0.0,0.0,0.839
1.0,33.0,2.0,12.0,160.0,3.0,30.0,4.0,0.36,15.0,2.8,159.721,7.3,0.0,0.0,1.36
1.0,65.0,2.0,11.0,240.0,1.0,100.0,3.0,4.0,175.0,2.5,0.0,80.0,508.0,4.0,2.563
2.0,38.0,2.0,8.0,150.253,1.0,0.0,4.0,0.36,15.0,0.0,2.0,15.0,0.0,0.0,1.04
1.0,75.0,2.0,4.0,75.485,1.0,50.0,4.0,0.36,15.0,0.705,0.0,13.0,0.0,0.0,0.72
2.0,76.0,1.0,11.0,650.0,1.0,100.0,3.0,0.36,15.0,3.0,10.64,200.0,440.0,15.0,8.87
2.0,57.0,1.0,7.0,180.0,3.0,100.0,4.0,0.46,15.2055,0.0,4.8,0.013,0.0,0.0,0.72
2.0,81.0,6.0,2.0,132.008,1.0,100.0,4.0,0.36,15.0,0.8,0.0,0.8,0.0,0.0,0.65
1.0,45.0,5.0,8.0,0.0,3.0,0.0,4.0,0.36,3.0,1.673,0.018,0.15,0.0,0.0,1.143
1.0,85.0,6.0,2.0,96.162,1.0,100.0,4.0,0.36,15.0,0.47,0.0,30.0,0.0,0.0,1.0
1.0,49.0,1.0,6.0,0.0,1.0,15.0,2.0,0.36,15.0,0.0,9.0,0.1,0.0,0.0,1.8
2.0,80.0,6.0,2.0,200.0,1.0,30.0,4.0,0.36,15.0,0.56,0.0,0.996,0.0,0.0,0.84
1.0,72.0,2.0,10.0,305.434,3.0,100.0,3.0,2.0,11.302,4.911,0.0,2.5,100.0,0.0,1.5
1.0,44.0,2.0,10.0,180.0,3.0,50.0,4.0,0.36,15.0,2.683,37.0,12.0,1.0,0.0,1.555
1.0,78.0,2.0,4.0,164.593,1.0,0.0,4.0,0.36,15.0,2.133,0.0,86.603,500.0,5.135,1.72
1.0,76.0,1.0,2.0,40.0,3.0,0.0,4.0,0.36,15.0,0.673,3.2,15.0,0.0,0.0,0.873
1.0,69.0,2.0,2.0,54.091,3.0,100.0,4.0,0.36,15.0,0.784,0.0,0.977,0.0,0.0,0.78
1.0,85.0,6.0,11.0,359.775,1.0,100.0,4.0,0.36,15.0,1.326,0.0,12.529,7.0,0.06,0.9
1.0,72.0,2.0,8.0,400.0,1.0,100.0,4.0,0.36,15.0,0.7,0.0,40.0,20.0,0.04,2.0
2.0,81.0,6.0,2.0,170.0,1.0,0.0,4.0,0.36,15.0,1.6,0.0,28.0,0.0,0.0,1.165
2.0,49.0,2.0,4.0,108.182,3.0,0.0,4.0,0.36,15.0,0.0,21.425,0.056,0.0,0.0,1.075
1.0,84.0,2.0,10.0,600.0,2.0,100.0,4.0,0.36,15.0,4.8,0.0,40.0,0.0,0.0,4.0
1.0,43.0,2.0,8.0,80.0,1.0,20.0,4.0,0.36,15.0,2.361,0.0,100.0,0.0,0.0,1.15
1.0,53.0,1.0,11.0,300.0,3.0,50.0,3.0,2.35,50.0,0.0,5.0,2.0,283.0,8.0,1.2
1.0,72.0,2.0,6.0,900.0,3.0,50.0,3.0,8.0,55.0,1.02,0.0,50.0,180.597,1.5,1.5
1.0,50.0,1.0,2.0,0.0,2.0,0.0,4.0,0.36,15.0,2.623,0.0,8.0,0.0,0.0,0.684
1.0,85.0,6.0,2.0,0.0,3.0,0.0,4.0,0.36,15.0,0.95,0.0,9.0,0.0,0.0,1.285
2.0,50.0,2.0,13.0,154.446,3.0,50.0,4.0,0.36,15.0,1.6,0.0,8.0,160.597,0.0,2.06
2.0,40.0,2.0,2.0,60.0,1.0,0.0,4.0,0.36,15.0,1.244,0.0,3.03,0.0,0.0,1.0
2.0,63.0,6.0,6.0,192.324,1.0,50.0,4.0,0.36,15.0,0.8,120.202,15.193,0.0,0.0,0.988
1.0,80.0,2.0,10.0,150.253,3.0,0.0,4.0,0.36,15.0,2.574,0.0,250.0,0.0,0.0,1.103
2.0,85.0,6.0,4.0,116.093,3.0,0.0,4.0,0.36,15.0,0.6,0.0,1.0,0.0,0.0,0.7
1.0,44.0,2.0,8.0,110.0,1.0,15.0,4.0,0.7,9.55,4.0,20.0,70.0,13.0,0.46,1.65
1.0,49.0,2.0,11.0,181.883,1.0,0.0,4.0,0.0,0.03,2.5,45.0,6.0,0.0,0.0,1.387
2.0,47.0,2.0,10.0,0.0,3.0,0.0,4.0,0.6,1.8,1.0,17.0,10.0,160.597,0.0,2.276
2.0,51.0,5.0,2.0,0.0,1.0,100.0,3.0,0.36,15.0,1.18,5.0,1.5,0.0,0.0,1.65
2.0,85.0,6.0,2.0,498.767,1.0,100.0,4.0,0.36,15.0,1.6,0.0,15.0,160.597,0.0,0.98
1.0,57.0,5.0,10.0,300.0,1.0,25.0,4.0,0.0,47.0,0.0,8.6,250.0,80.0,0.0,4.741
2.0,51.0,2.0,11.0,300.0,1.0,50.0,4.0,0.36,15.0,1.8,36.5,80.0,0.0,0.0,1.86
1.0,53.0,5.0,4.0,0.0,1.0,50.0,3.0,0.36,15.0,1.549,0.0,0.4,0.0,0.0,0.78
1.0,45.0,2.0,3.0,250.0,1.0,80.0,4.0,0.36,15.0,2.3,170.55,1.862,0.0,0.0,1.713
2.0,69.0,2.0,2.0,60.0,1.0,50.0,4.0,0.36,15.0,0.0,0.0,2.0,0.0,0.0,1.1
1.0,60.0,2.0,8.0,150.253,3.0,0.0,4.0,0.36,15.0,0.0,0.0,40.0,0.0,0.0,1.0
1.0,60.0,2.0,4.0,300.0,1.0,0.0,4.0,0.36,15.0,0.0,0.0,14.0,0.0,0.0,1.09
1.0,78.0,2.0,3.0,125.0,1.0,50.0,4.0,0.36,15.0,0.6,0.0,25.0,0.0,0.0,0.41
2.0,61.0,1.0,12.0,359.054,1.0,50.0,4.0,1.414,15.0,0.0,0.0,40.396,325.51,0.027,1.0
1.0,51.0,2.0,6.0,0.0,3.0,40.0,4.0,0.3,2.25,1.5,6.0,9.5,160.597,0.0,0.772
1.0,47.0,2.0,4.0,210.354,1.0,10.0,4.0,0.36,15.0,2.2,19.809,2.0,0.0,0.0,1.78
2.0,51.0,2.0,8.0,191.533,3.0,0.0,4.0,0.36,15.0,0.0,5.24,1.897,0.0,0.0,1.929
2.0,27.0,1.0,6.0,130.0,1.0,70.0,4.0,0.36,15.0,0.0,0.0,27.857,0.0,0.0,1.5
1.0,45.0,1.0,6.0,120.0,3.0,50.0,4.0,0.36,15.0,2.916,0.0,8.0,0.0,0.0,1.0
2.0,59.0,2.0,6.0,200.0,2.0,100.0,3.0,0.36,15.0,0.0,0.0,8.0,300.0,0.0,3.006
2.0,38.0,2.0,7.0,120.0,2.0,0.0,3.0,0.36,15.0,0.0,6.0,4.0,0.0,0.0,2.3
1.0,83.0,2.0,13.0,700.0,1.0,50.0,4.0,0.36,15.0,2.4,0.0,150.0,400.0,8.0,5.0
1.0,73.0,2.0,5.0,150.0,1.0,100.0,4.0,0.36,15.0,0.975,0.0,6.863,6.152,0.0,2.6
1.0,71.0,2.0,2.0,132.223,3.0,50.0,3.0,0.36,15.0,1.747,0.0,8.0,160.597,0.0,1.5
2.0,85.0,6.0,6.0,1000.0,3.0,100.0,4.0,0.36,15.0,0.167,0.0,29.0,600.0,4.035,1.727
1.0,76.0,6.0,4.0,700.0,2.0,0.0,3.0,0.36,15.0,0.19,0.0,75.0,1000.0,40.0,2.4
1.0,42.0,2.0,4.0,150.0,1.0,40.0,4.0,0.36,15.0,1.3,0.0,17.0,0.0,0.0,1.01
2.0,55.0,6.0,2.0,120.0,2.0,100.0,4.0,0.6,4.8,0.949,49.014,0.062,0.0,0.0,2.279
1.0,68.0,2.0,11.0,450.759,1.0,0.0,4.0,0.36,15.0,2.5,0.0,350.0,220.597,3.0,1.3
2.0,68.0,4.0,2.0,100.0,3.0,0.0,4.0,0.36,15.0,0.738,0.0,2.0,0.0,0.0,0.5
1.0,70.0,2.0,10.0,1300.0,3.0,80.0,3.0,0.0,184.0,0.3,116.0,116.0,800.0,22.328,5.887
2.0,57.0,2.0,2.0,180.304,3.0,50.0,4.0,0.36,15.0,0.0,0.0,1.378,0.0,0.0,2.3
1.0,75.0,2.0,10.0,64.366,3.0,100.0,4.0,0.36,15.0,1.8,0.0,40.0,0.0,0.0,1.0
2.0,38.0,4.0,4.0,0.0,1.0,50.0,4.0,0.36,15.0,1.401,0.0,0.005,0.0,0.0,1.45
2.0,81.0,6.0,2.0,72.121,3.0,0.0,4.0,0.36,15.0,0.6,0.0,1.285,0.0,0.0,1.221
1.0,46.0,2.0,7.0,240.0,3.0,50.0,4.0,0.36,15.0,2.0,5.0,15.0,12.0,0.29,2.252
2.0,59.0,2.0,10.0,205.189,3.0,0.0,4.0,0.36,15.0,0.0,0.0,25.039,0.0,0.0,1.6
1.0,76.0,2.0,11.0,480.81,3.0,100.0,4.0,0.36,15.0,1.8,0.0,98.0,7.669,0.21,1.28
